TrxDate,CustomerID,CustomerName,ItemCode,ItemName,TotalQuantity
2023-05-31,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-05-30,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-05-29,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-03-26,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-28,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-27,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-27,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-26,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-23,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-23,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-13,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-02-13,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-01-17,1007151,SaudiMarket,1031100,Evaporated Milk 410g x 48,1.0
2023-03-26,1007151,SaudiMarket,1061200,Tuna 95g x 48,1.0
2023-03-08,1007151,SaudiMarket,1061200,Tuna 95g x 48,1.0
2023-02-27,1007151,SaudiMarket,1061200,Tuna 95g x 48,1.0
2023-02-23,1007151,SaudiMarket,1061200,Tuna 95g x 48,1.0
2023-01-17,1007151,SaudiMarket,1061200,Tuna 95g x 48,1.0
2023-01-17,1007151,SaudiMarket,1061200,Tuna 95g x 48,1.0
2023-01-16,1007151,SaudiMarket,1061200,Tuna 95g x 48,1.0
2023-05-31,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-05-30,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-05-29,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-03-08,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-01-17,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-01-17,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-01-16,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-03-26,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-02-27,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-02-23,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-02-23,1007151,SaudiMarket,1061310,Tuna Rooti 185g x 24,1.0
2023-03-26,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-03-08,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-02-23,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-01-17,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-01-17,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-01-16,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-05-31,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-05-30,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-05-29,1007151,SaudiMarket,1061414,Tuna Rooti 80g x 24,1.0
2023-03-19,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-02-27,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-02-23,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-02-23,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-02-23,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-01-17,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-01-17,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-03-26,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-03-08,1007151,SaudiMarket,1061201,Tuna Salt and Water 95g x 48,1.0
2023-05-31,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-05-30,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-05-29,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-03-08,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-02-28,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-02-26,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-02-23,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-01-17,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-01-17,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-01-16,1007151,SaudiMarket,1061101,Tuna Salt and Water 185g x 48,1.0
2023-05-21,1007151,SaudiMarket,1051300,Dira Rice 5KGM x 8,1.0
2023-03-26,1007151,SaudiMarket,1051300,Dira Rice 5KGM x 8,1.0
2023-02-28,1007151,SaudiMarket,1051200,Dira Rice 10KGM x 4,1.0
2023-02-26,1007151,SaudiMarket,1051200,Dira Rice 10KGM x 4,1.0
2023-02-13,1007151,SaudiMarket,1051200,Dira Rice 10KGM x 4,1.0
2023-02-13,1007151,SaudiMarket,1051200,Dira Rice 10KGM x 4,1.0
2023-02-26,1007151,SaudiMarket,1051400,Basmati Rice 10KGM x 4,1.0
2023-03-26,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-03-08,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-02-28,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-02-23,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-02-13,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-02-13,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-02-13,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-01-17,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-01-17,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-01-16,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-01-16,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-05-31,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-05-30,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-05-29,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-05-21,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-05-02,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-03-19,1007151,SaudiMarket,1091200,Dr.Salt 400g x 12,1.0
2023-05-31,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-05-30,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-05-29,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-05-21,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-05-02,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-04-18,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-03-08,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-01-17,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-01-16,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-01-16,1007151,SaudiMarket,1091100,Idozied Salt 700g x 12,1.0
2023-05-31,1007151,SaudiMarket,1021100,Whole Milk Powder 2500g * 6 Tin,1.0
2023-05-30,1007151,SaudiMarket,1021100,Whole Milk Powder 2500g * 6 Tin,1.0
